Code item,Description,Qté en main,
Arzach26,Arzach enfant pointure 26,1,
Arzach27,Arzach enfant pointure 27,2,
Arzach28,Arzach enfant pointure 28,7,
Arzach29,Arzach enfant pointure 29,9,
Arzach30,Arzach enfant pointure 30,9,
Arzach31,Arzach enfant pointure 31,5,
Arzach32,Arzach enfant pointure 32,3,
Arzach33,Arzach enfant pointure 33,6,
Arzach34,Arzach enfant pointure 34,1,
Arzach35,Arzach enfant pointure 35,0,
Arzach36,Arzach enfant pointure 36,1,
Arzach37,Arzach enfant pointure 37,0,
Axel05,Axel pointure 5,80,
Axel06,Axel pointure 6,247,
Axel07,Axel pointure 7,431,
Axel08,Axel pointure 8,551,
Axel09,Axel pointure 9,462,
Axel10,Axel pointure 10,426,
Axel11,Axel pointure 11,-6,
Billy25,Billy Enfant pointure 25,0,
Billy26,Billy Enfant pointure 26,0,
Billy27,Billy Enfant pointure 27,0,
Billy28,Billy Enfant pointure 28,0,
Billy29,Billy Enfant pointure 29,0,
Billy30,Billy Enfant pointure 30,0,
Billy31,Billy Enfant pointure 31,0,
Billy32,Billy Enfant pointure 32,0,
Billy33,Billy Enfant pointure 33,0,
Billy34,Billy Enfant pointure 34,0,
Billy35,Billy Enfant pointure 35,0,
Billy36,Billy Enfant pointure 36,0,
Billy37,Billy Enfant pointure 37,0,
Billy38,Billy Enfant pointure 38,0,
Billy39,Billy Enfant pointure 39,0,
Charly01,Charly enfant 1,17,
Charly02,Charly enfant 2,39,
Charly03,Charly enfant 3,16,
Charly04,Charly enfant 4,13,
Charly05,Charly enfant 5,9,
Charly06,Charly enfant 6,2,
Charly10,Charly enfant 10,22,
Charly11,Charly enfant 11,35,
Charly12,Charly enfant 12,28,
Charly13,Charly enfant 13,12,
Eliott06,Eliott pointure 6,16,
Eliott07,Eliott pointure 7,21,
Eliott08,Eliott pointure 8,39,
Eliott09,Eliott pointure 9,35,
Eliott10,Eliott pointure 10,30,
Eliott11,Eliott pointure 11,31,
Eliott12,Eliott pointure 12,14,
Eliott13,Eliott pointure 13,5,
Elise05,Elise pointure 5,46,
Elise06,Elise pointure 6,75,
Elise07,Elise pointure 7,133,
Elise08,Elise pointure 8,128,
elise09,Elise pointure 9,93,
Elise10,Elise pointure 10,44,
Elise11,Elise pointure 11,15,
Emie02,Emie pointure 2,5,
Emie03,Emie pointure 3,24,
Emie04,Emie pointure 4,16,
Emie05,Emie pointure 5,7,
Emie06,Emie pointure 6,23,
Emie07,Emie pointure 7,39,
Emie08,Emie pointure 8,29,
Emie09,Emie pointure 9,15,
Emie10,Emie pointure 10,10,
Emie11,Emie pointure 11,10,
Emma26,Emma enfant pointure 26,2,
Emma27,Emma enfant pointure 27,7,
Emma28,Emma enfant pointure 28,0,
Emma29,Emma enfant pointure 29,4,
Emma30,Emma enfant pointure 30,6,
Emma31,Emma enfant pointure 31,4,
Emma32,Emma enfant pointure 32,0,
Emma33,Emma enfant pointure 33,6,
Emma34,Emma enfant pointure 34,5,
Emma35,Emma enfant pointure 35,1,
Emma36,Emma enfant pointure 36,3,
Enzo06,Enzo pointure 6,208,
Enzo07,Enzo pointure 7,193,
Enzo08,Enzo pointure 8,235,
Enzo09,Enzo pointure 9,256,
Enzo10,Enzo pointure 10,216,
Enzo11,Enzo pointure 11,173,
Enzo12,Enzo pointure 12,105,
Enzo13,Enzo pointure 13,58,
Julia01,Julia enfant pointure 1,31,
Julia02,Julia enfant pointure 2,32,
Julia03,Julia enfant pointure 3,13,
Julia04,Julia enfant pointure 4,15,
Julia11,Julia enfant pointure 11,33,
Julia12,Julia enfant pointure 12,42,
Julia13,Julia enfant pointure 13,38,
Justin06,Justin pointure 6,7,
Justin07,Justin pointure 7,3,
Justin08,Justin pointure 8,5,
Justin09,Justin pointure 9,23,
Justin10,Justin pointure 10,20,
Justin11,Justin pointure 11,6,
Justin12,Justin pointure 12,-3,
Justin13,Justin pointure 13,10,
Justin14,Justin pointure 14,1,
Katia02,Katia pointure 2,5,
Katia03,Katia pointure 3,15,
Katia04,Katia pointure 4,13,
Katia05,Katia pointure 5,36,
Katia06,Katia pointure 6,10,
Katia07,Katia pointure 7,40,
Katia08,Katia pointure 8,70,
Katia09,Katia pointure 9,30,
Katia10,Katia pointure 10,13,
Katia11,Katia pointure 11,5,
Lou01,Lou enfant pointure 1,25,
Lou02,Lou enfant pointure 2,14,
Lou03,Lou enfant pointure 3,5,
Lou04,Lou enfant pointure 4,-7,
Lou05,Lou enfant pointure 5,-19,
Lou06,Lou enfant pointure 6,-12,
Lou07,Lou enfant pointure 7,-5,
Lou11,Lou enfant pointure 11,11,
Lou12,Lou enfant pointure 12,16,
Lou13,Lou enfant pointure 13,29,
Lucas06,Lucas pointure 6,36,
Lucas07,Lucas pointure 7,12,
Lucas08,Lucas pointure 8,35,
Lucas09,Lucas pointure 9,34,
Lucas10,Lucas pointure 10,30,
Lucas11,Lucas pointure 11,31,
Lucas12,Lucas pointure 12,10,
Lucas13,Lucas pointure 13,8,
Manu01,Manu Enfant pointure 01,0,
Manu02,Manu Enfant pointure 02,0,
Manu03,Manu Enfant pointure 03,0,
Manu04,Manu Enfant pointure 04,0,
Manu05,Manu Enfant pointure 05,0,
Manu06,Manu Enfant pointure 06,0,
Manu10,Manu Enfant pointure 10,0,
Manu11,Manu Enfant pointure 11,0,
Manu12,Manu Enfant pointure 12,0,
Manu13,Manu Enfant pointure 13,0,
Nelly02,Nelly pointure 2,8,
Nelly03,Nelly pointure 3,10,
Nelly04,Nelly pointure 4,6,
Nelly05,Nelly pointure 5,6,
Nelly06,Nelly pointure 6,9,
Nelly07,Nelly pointure 7,23,
Nelly08,Nelly pointure 8,33,
Nelly09,Nelly pointure 9,17,
Nelly10,Nelly pointure 10,3,
Nelly11,Nelly pointure 11,9,
Oxford04,Oxford pointure 4,11,
Oxford05,Oxford pointure 5,7,
Oxford06,Oxford pointure 6,12,
Oxford07,Oxford pointure 7,23,
Oxford08,Oxford pointure 8,57,
Oxford09,Oxford pointure 9,56,
Oxford10,Oxford pointure 10,36,
Oxford11,Oxford pointure 11,4,
Rose03,Rose adulte 3,7,
Rose04,Rose adulte 4,17,
Rose05,Rose adulte 5,1,
