Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,"Blainville, Quebec",
arzach,Arzach,Size,26,,,,,,1,-1
arzach,Arzach,Size,27,,,,,,2,0
arzach,Arzach,Size,28,,,,,,7,5
arzach,Arzach,Size,29,,,,,,9,7
arzach,Arzach,Size,30,,,,,,9,7
arzach,Arzach,Size,31,,,,,,5,3
arzach,Arzach,Size,32,,,,,,3,1
arzach,Arzach,Size,33,,,,,,6,4
arzach,Arzach,Size,34,,,,,,1,-1
arzach,Arzach,Size,35,,,,,,0,-2
arzach,Arzach,Size,36,,,,,,1,-1
arzach,Arzach,Size,37,,,,,,0,-2
axel,Axel,Size,5,,,,,,80,78
axel,Axel,Size,6,,,,,,247,245
axel,Axel,Size,7,,,,,,431,429
axel,Axel,Size,8,,,,,,551,549
axel,Axel,Size,9,,,,,,462,460
axel,Axel,Size,10,,,,,,426,424
axel,Axel,Size,11,,,,,,-6,-8
billy,Billy,Size,25,,,,,,0,-2
billy,Billy,Size,26,,,,,,0,-2
billy,Billy,Size,27,,,,,,0,-2
billy,Billy,Size,28,,,,,,0,-2
billy,Billy,Size,29,,,,,,0,-2
billy,Billy,Size,30,,,,,,0,-2
billy,Billy,Size,31,,,,,,0,-2
billy,Billy,Size,32,,,,,,0,-2
billy,Billy,Size,33,,,,,,0,-2
billy,Billy,Size,34,,,,,,0,-2
billy,Billy,Size,35,,,,,,0,-2
billy,Billy,Size,36,,,,,,0,-2
billy,Billy,Size,37,,,,,,0,-2
billy,Billy,Size,38,,,,,,0,-2
billy,Billy,Size,39,,,,,,0,-2
charly,Charly,Size,1,,,,,,17,15
charly,Charly,Size,2,,,,,,39,37
charly,Charly,Size,3,,,,,,16,14
charly,Charly,Size,4,,,,,,13,11
charly,Charly,Size,5,,,,,,9,7
charly,Charly,Size,6,,,,,,2,0
charly,Charly,Size,10,,,,,,22,20
charly,Charly,Size,11,,,,,,35,33
charly,Charly,Size,12,,,,,,28,26
charly,Charly,Size,13,,,,,,12,10
elliot,Elliot,Size,6,,,,,,16,14
elliot,Elliot,Size,7,,,,,,21,19
elliot,Elliot,Size,8,,,,,,39,37
elliot,Elliot,Size,9,,,,,,35,33
elliot,Elliot,Size,10,,,,,,30,28
elliot,Elliot,Size,11,,,,,,31,29
elliot,Elliot,Size,12,,,,,,14,12
elliot,Elliot,Size,13,,,,,,5,3
elise,Elise,Size,5,,,,,,46,44
elise,Elise,Size,6,,,,,,75,73
elise,Elise,Size,7,,,,,,133,131
elise,Elise,Size,8,,,,,,128,126
elise,Elise,Size,9,,,,,,93,91
elise,Elise,Size,10,,,,,,44,42
elise,Elise,Size,11,,,,,,15,13
emie,Emie,Size,2,,,,,,5,3
emie,Emie,Size,3,,,,,,24,22
emie,Emie,Size,4,,,,,,16,14
emie,Emie,Size,5,,,,,,7,5
emie,Emie,Size,6,,,,,,23,21
emie,Emie,Size,7,,,,,,39,37
emie,Emie,Size,8,,,,,,29,27
emie,Emie,Size,9,,,,,,15,13
emie,Emie,Size,10,,,,,,10,8
emie,Emie,Size,11,,,,,,10,8
emma,Emma,Size,26,,,,,,2,0
emma,Emma,Size,27,,,,,,7,5
emma,Emma,Size,28,,,,,,0,-2
emma,Emma,Size,29,,,,,,4,2
emma,Emma,Size,30,,,,,,6,4
emma,Emma,Size,31,,,,,,4,2
emma,Emma,Size,32,,,,,,0,-2
emma,Emma,Size,33,,,,,,6,4
emma,Emma,Size,34,,,,,,5,3
emma,Emma,Size,35,,,,,,1,-1
emma,Emma,Size,36,,,,,,3,1
enzo,Enzo,Size,6,,,,,,208,206
enzo,Enzo,Size,7,,,,,,193,191
enzo,Enzo,Size,8,,,,,,235,233
enzo,Enzo,Size,9,,,,,,256,254
enzo,Enzo,Size,10,,,,,,216,214
enzo,Enzo,Size,11,,,,,,173,171
enzo,Enzo,Size,12,,,,,,105,103
enzo,Enzo,Size,13,,,,,,58,56
julia,Julia,Size,1,,,,,,31,29
julia,Julia,Size,2,,,,,,32,30
julia,Julia,Size,3,,,,,,13,11
julia,Julia,Size,4,,,,,,15,13
julia,Julia,Size,11,,,,,,33,31
julia,Julia,Size,12,,,,,,42,40
julia,Julia,Size,13,,,,,,38,36
justin,Justin,Size,6,,,,,,7,5
justin,Justin,Size,7,,,,,,3,1
justin,Justin,Size,8,,,,,,5,3
justin,Justin,Size,9,,,,,,23,21
justin,Justin,Size,10,,,,,,20,18
justin,Justin,Size,11,,,,,,6,4
justin,Justin,Size,12,,,,,,-3,-5
justin,Justin,Size,13,,,,,,10,8
justin,Justin,Size,14,,,,,,1,-1
katia,Katia,Size,2,,,,,,5,3
