Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,"Blainville, Quebec"
shadow,Shadow,Size,37,,,,,"",0
shadow,Shadow,Size,36,,,,,"",0
shadow,Shadow,Size,35,,,,,"",0
shadow,Shadow,Size,34,,,,,"",0
shadow,Shadow,Size,33,,,,,"",0
shadow,Shadow,Size,32,,,,,"",0
shadow,Shadow,Size,31,,,,,"",0
shadow,Shadow,Size,30,,,,,"",-1
shadow,Shadow,Size,29,,,,,"",0
shadow,Shadow,Size,28,,,,,"",0
shadow,Shadow,Size,27,,,,,"",0
shadow,Shadow,Size,26,,,,,"",0
zoe-junior,Zoe Junior,Size,1,,,,,"",8
zoe-junior,Zoe Junior,Size,13,,,,,"",19
zoe-junior,Zoe Junior,Size,12,,,,,"",22
zoe-junior,Zoe Junior,Size,11,,,,,"",13
zoe-junior,Zoe Junior,Size,10,,,,,"",14
lou,Lou,Size,7,,,,,"",-5
rose-junior,Rose Junior,Size,1,,,,,"",9
rose-junior,Rose Junior,Size,13,,,,,"",8
rose-junior,Rose Junior,Size,12,,,,,"",17
rose-junior,Rose Junior,Size,11,,,,,"",19
rose-junior,Rose Junior,Size,10,,,,,"",11
rose-junior,Rose Junior,Size,2,,,,,"",-2
julia,Julia,Size,4,,,,,"",15
julia,Julia,Size,3,,,,,"",13
julia,Julia,Size,2,,,,,"",32
julia,Julia,Size,1,,,,,"",31
julia,Julia,Size,13,,,,,"",38
julia,Julia,Size,12,,,,,"",42
julia,Julia,Size,11,,,,,"",33
emma,Emma,Size,36,,,,,"",3
emma,Emma,Size,35,,,,,"",1
emma,Emma,Size,34,,,,,"",5
emma,Emma,Size,33,,,,,"",6
emma,Emma,Size,32,,,,,"",0
emma,Emma,Size,31,,,,,"",4
emma,Emma,Size,30,,,,,"",6
emma,Emma,Size,29,,,,,"",4
emma,Emma,Size,28,,,,,"",0
emma,Emma,Size,27,,,,,"",7
emma,Emma,Size,26,,,,,"",2
savage,Savage,Size,41,,,,,"",2
savage,Savage,Size,40,,,,,"",2
savage,Savage,Size,39,,,,,"",1
savage,Savage,Size,38,,,,,"",2
savage,Savage,Size,37,,,,,"",8
savage,Savage,Size,36,,,,,"",5
savage,Savage,Size,35,,,,,"",10
savage,Savage,Size,34,,,,,"",15
savage,Savage,Size,33,,,,,"",6
savage,Savage,Size,32,,,,,"",7
savage,Savage,Size,31,,,,,"",7
savage,Savage,Size,30,,,,,"",3
savage,Savage,Size,29,,,,,"",4
savage,Savage,Size,28,,,,,"",10
savage,Savage,Size,27,,,,,"",4
savage,Savage,Size,26,,,,,"",1
manu,Manu,Size,6,,,,,"",0
manu,Manu,Size,5,,,,,"",0
manu,Manu,Size,4,,,,,"",0
manu,Manu,Size,3,,,,,"",0
manu,Manu,Size,2,,,,,"",0
manu,Manu,Size,1,,,,,"",0
manu,Manu,Size,13,,,,,"",0
manu,Manu,Size,12,,,,,"",0
manu,Manu,Size,11,,,,,"",0
manu,Manu,Size,10,,,,,"",0
lou,Lou,Size,6,,,,,"",-12
lou,Lou,Size,5,,,,,"",-19
lou,Lou,Size,4,,,,,"",-7
lou,Lou,Size,3,,,,,"",5
lou,Lou,Size,2,,,,,"",14
lou,Lou,Size,1,,,,,"",25
lou,Lou,Size,13,,,,,"",29
lou,Lou,Size,12,,,,,"",16
lou,Lou,Size,11,,,,,"",11
charly,Charly,Size,6,,,,,"",2
charly,Charly,Size,5,,,,,"",9
charly,Charly,Size,4,,,,,"",13
charly,Charly,Size,3,,,,,"",16
charly,Charly,Size,2,,,,,"",39
charly,Charly,Size,1,,,,,"",17
charly,Charly,Size,13,,,,,"",12
charly,Charly,Size,12,,,,,"",28
charly,Charly,Size,11,,,,,"",35
charly,Charly,Size,10,,,,,"",22
billy,Billy,Size,39,,,,,"",0
billy,Billy,Size,38,,,,,"",0
billy,Billy,Size,25,,,,,"",0
billy,Billy,Size,37,,,,,"",0
billy,Billy,Size,36,,,,,"",0
billy,Billy,Size,35,,,,,"",0
billy,Billy,Size,34,,,,,"",0
billy,Billy,Size,33,,,,,"",0
billy,Billy,Size,32,,,,,"",0
billy,Billy,Size,31,,,,,"",0
billy,Billy,Size,30,,,,,"",0
billy,Billy,Size,29,,,,,"",0
billy,Billy,Size,28,,,,,"",0
billy,Billy,Size,27,,,,,"",0
billy,Billy,Size,26,,,,,"",0
arzach,Arzach,Size,37,,,,,"",0
arzach,Arzach,Size,36,,,,,"",1
arzach,Arzach,Size,35,,,,,"",0
arzach,Arzach,Size,34,,,,,"",1
arzach,Arzach,Size,33,,,,,"",6
arzach,Arzach,Size,32,,,,,"",3
arzach,Arzach,Size,31,,,,,"",5
arzach,Arzach,Size,30,,,,,"",9
arzach,Arzach,Size,29,,,,,"",9
